ID,Journal,Papers in 2025 (all authors),Papers with NIH funding,journal share of NIH funded papers in 2025,Cumulative number of NIH funded papers,Cumulative % NIH,Cumulative number of journals,Cumulative % of journals,ISSN,eISSN,Publisher,oa_status,apc_usd,apc_usd_originalORconverted,manual_link,comment,Publisher category
jour.1049838,Journal of Racial and Ethnic Health Disparities,511,167,0.326810176,26500,23.31063845,72,0.938599922,2197-3792,2196-8837,Springer Nature,Hybrid OA,5190,original,0,0,for profit
jour.1049249,Journal for ImmunoTherapy of Cancer,646,167,0.258513932,26667,23.45753945,73,0.951636032,0,2051-1426,BMJ,Gold OA,3125,original,https://web.archive.org/web/20250522221418/https://jitc.bmj.com/pages/authors#APC,0,for profit
jour.1020133,Medical Physics,744,166,0.22311828,26833,23.60356081,74,0.964672142,0094-2405,2473-4209,Wiley,Hybrid OA,3360,original,0,0,for profit
jour.1412924,PLOS Global Public Health,1068,166,0.155430712,26999,23.74958217,75,0.977708252,0,2767-3375,Public Library of Science (PLoS),Gold OA,2496,original,0,0,not for profit
jour.1017078,Biophysical Journal,403,165,0.40942928,27164,23.89472388,76,0.990744362,0006-3495,1542-0086,Elsevier,Hybrid OA,3000,original,0,0,for profit
jour.1094724,Vaccine,1160,163,0.140517241,27327,24.0381063,77,1.003780472,0264-410X,1873-2518,Elsevier,Hybrid OA,3620,original,0,0,for profit
jour.1157000,ACS Omega,5284,163,0.030847843,27490,24.18148871,78,1.016816582,2470-1343,0,American Chemical Society (ACS),Gold OA,1935,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
jour.1023179,Angewandte Chemie,5332,161,0.030195049,27651,24.32311184,79,1.029852692,0044-8249,1521-3757,Wiley,Hybrid OA,5790,original,0,0,for profit
jour.1117828,Molecular Cell,349,158,0.452722063,27809,24.46209602,80,1.042888802,1097-2765,1097-4164,Elsevier,Hybrid OA,10400,original,0,0,for profit
jour.1096256,Journal of General Internal Medicine,412,157,0.381067961,27966,24.60020056,81,1.055924912,0884-8734,1525-1497,Springer Nature,Hybrid OA,5290,original,0,0,for profit
jour.1093956,Social Science & Medicine,982,157,0.1598778,28123,24.7383051,82,1.068961022,0277-9536,1873-5347,Elsevier,Hybrid OA,3800,original,0,0,for profit
